,title,devanagari,verse_text,verse_text_no_samdhis
13,1.14,"ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ ।
माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ॥ १.१४ ॥","tataḥ śvetair hayair yukte
mahati syandane sthitau
mādhavaḥ pāṇḍavaś caiva
divyau śaṅkhau pradadhmatuḥ",tataḥ śvetaiḥ hayaiḥ yukte mahati syandane sthitau mādhavaḥ pāṇḍavaḥ ca eva divyau śaṅkhau pradadhmatuḥ
14,1.15,"पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः ।
पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ॥ १.१५ ॥","pāñcajanyaṁ hṛṣīkeśo
devadattaṁ dhanañ-jayaḥ
pauṇḍraṁ dadhmau mahā-śaṅkhaṁ
bhīma-karmā vṛkodaraḥ",pāñcajanyam hṛṣīka īśaḥ devadattam dhanam jayaḥ pauṇḍram dadhmau mahā śaṅkham bhīma karmā vṛka udaraḥ
15,1.16,"अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः ।
नकुलः सहदेवश्च सुघोषमणिपुष्पकौ ॥ १.१६ ॥","anantavijayaṁ rājā
kuntī-putro yudhiṣṭhiraḥ
nakulaḥ sahadevaś ca
sughoṣa-maṇipuṣpakau",ananta vijayam rājā kuntī putraḥ yudhiṣṭhiraḥ nakulaḥ sahadevaḥ ca sughoṣa maṇipuṣpakau
16,1.17,"काश्यश्च परमेष्वासः शिखण्डी च महारथः ।
धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः ॥ १.१७ ॥","kāśyaś ca parameṣv-āsaḥ
śikhaṇḍī ca mahā-rathaḥ
dhṛṣṭadyumno virāṭaś ca
sātyakiś cāparājitaḥ",kāśyaḥ ca parama iṣu āsaḥ śikhaṇḍī ca mahā rathaḥ dhṛṣṭadyumnaḥ virāṭaḥ ca sātyakiḥ ca aparājitaḥ
17,1.18,"द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते ।
सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् ॥ १.१८ ॥","drupado draupadeyāś ca
sarvaśaḥ pṛthivī-pate
saubhadraś ca mahā-bāhuḥ
śaṅkhān dadhmuḥ pṛthak pṛthak",drupadaḥ draupadeyāḥ ca sarvaśaḥ pṛthivī pate saubhadraḥ ca mahā bāhuḥ śaṅkhān dadhmuḥ pṛthak pṛthak
18,1.19,"स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् ।
नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् ॥ १.१९ ॥","sa ghoṣo dhārtarāṣṭrāṇāṁ
hṛdayāni vyadārayat
nabhaś ca pṛthivīṁ caiva
tumulo ’bhyanunādayan",saḥ ghoṣaḥ dhārtarāṣṭrāṇām hṛdayāni vyadārayat nabhaḥ ca pṛthivīm ca eva tumulaḥ abhyanunādayan
19,1.20,"अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः
प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः
हृषीकेशं तदा वाक्यमिदमाह महीपते ॥ १.२० ॥","atha vyavasthitān dṛṣṭvā
dhārtarāṣṭrān kapi-dhvajaḥ
pravṛtte śastra-sampāte
dhanur udyamya pāṇḍavaḥ
hṛṣīkeśaṁ tadā vākyam
idam āha mahī-pate",atha vyavasthitān dṛṣṭvā dhārtarāṣṭrān kapi dhvajaḥ pravṛtte śastra sampāte dhanuḥ udyamya pāṇḍavaḥ hṛṣīkeśam tadā vākyam idam āha mahī pate
20,1.21,"अर्जुन उवाच
सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ॥ १.२१ ॥","arjuna uvāca
senayor ubhayor madhye
rathaṁ sthāpaya me ’cyuta
yāvad etān nirīkṣe ’haṁ
yoddhu-kāmān avasthitān",arjunaḥ uvāca senayoḥ ubhayoḥ madhye ratham sthāpaya me acyuta yāvat etān nirīkṣe aham yoddhu kāmān avasthitān
21,1.22,"यावदेतान्निरिक्षेऽहं योद्\u200cधुकामानवस्थितान् ।
कैर्मया सह योद्धव्यमस्मिन्रणसमुद्यमे ॥ १.२२ ॥","kair mayā saha yoddhavyam
asmin raṇa-samudyame",kaiḥ mayā saha yoddhavyam asmin raṇa samudyame
22,1.23,"योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः ।
धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ॥ १.२३ ॥","yotsyamānān avekṣe ’haṁ
ya ete ’tra samāgatāḥ
dhārtarāṣṭrasya durbuddher
yuddhe priya-cikīrṣavaḥ",yotsyamānān avekṣe aham ye ete atra samāgatāḥ dhārtarāṣṭrasya durbuddheḥ yuddhe priya cikīrṣavaḥ
23,1.24,"सञ्जय उवाच ।
एवमुक्तो हृषीकेशो गुडाकेशेन भारत
सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ॥ १.२४ ॥","sañjaya uvāca
evam ukto hṛṣīkeśo
guḍākeśena bhārata
senayor ubhayor madhye
sthāpayitvā rathottamam",sañjayaḥ uvāca evam uktaḥ hṛṣīkeśaḥ guḍākeśena bhārata senayoḥ ubhayoḥ madhye sthāpayitvā ratha uttamam
24,1.25,"भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् ।
उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति ॥ १.२५ ॥","bhīṣma-droṇa-pramukhataḥ
sarveṣāṁ ca mahī-kṣitām
uvāca pārtha paśyaitān
samavetān kurūn iti",bhīṣma droṇa pramukhataḥ sarveṣām ca mahī kṣitām uvāca pārtha paśya etān samavetān kurūn iti
25,1.26,"तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान्
आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा
श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि ॥ १.२६ ॥","tatrāpaśyat sthitān pārthaḥ
pitṝn atha pitāmahān
ācāryān mātulān bhrātṝn
putrān pautrān sakhīṁs tathā
śvaśurān suhṛdaś caiva
senayor ubhayor api",tatra apaśyat sthitān pārthaḥ pitṝn atha pitāmahān ācāryān mātulān bhrātṝn putrān pautrān sakhīn tathā śvaśurān suhṛdaḥ ca eva senayoḥ ubhayoḥ api
26,1.27,"तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् ।
कृपया परयाविष्टो विषीदन्निदमब्रवीत् ॥ १.२७ ॥","tān samīkṣya sa kaunteyaḥ
sarvān bandhūn avasthitān
kṛpayā parayāviṣṭo
viṣīdann idam abravīt",tān samīkṣya saḥ kaunteyaḥ sarvān bandhūn avasthitān kṛpayā parayā āviṣṭaḥ viṣīdan idam abravīt
27,1.28,"अर्जुन उवाच ।
दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्
सीदन्ति मम गात्राणि मुखं च परिशुष्यति ॥ १.२८ ॥","arjuna uvāca
dṛṣṭvemaṁ sva-janaṁ kṛṣṇa
yuyutsuṁ samupasthitam
sīdanti mama gātrāṇi
mukhaṁ ca pariśuṣyati",arjunaḥ uvāca dṛṣṭvā imam sva janam kṛṣṇa yuyutsum samupasthitam sīdanti mama gātrāṇi mukham ca pariśuṣyati
28,1.29,"वेपथुश्च शरीरे मे रोमहर्षश्च जायते ।
गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते ॥ १.२९ ॥","vepathuś ca śarīre me
roma-harṣaś ca jāyate
gāṇḍīvaṁ sraṁsate hastāt
tvak caiva paridahyate",vepathuḥ ca śarīre me roma harṣaḥ ca jāyate gāṇḍīvam sraṁsate hastāt tvak ca eva paridahyate
29,1.30,"न च मे शक्नोम्यवस्थातुं भ्रमतीव मनः ।
निमित्तानि च पश्यामि विपरीतानि केशव ॥ १.३० ॥","na ca śaknomy avasthātuṁ
bhramatīva ca me manaḥ
nimittāni ca paśyāmi
viparītāni keśava",na ca śaknomi avasthātum bhramati iva ca me manaḥ nimittāni ca paśyāmi viparītāni keśava
30,1.31,"न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे ।
न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च ॥ १.३१ ॥","na ca śreyo ’nupaśyāmi
hatvā sva-janam āhave
na kāṅkṣe vijayaṁ kṛṣṇa
na ca rājyaṁ sukhāni ca",na ca śreyaḥ anupaśyāmi hatvā sva janam āhave na kāṅkṣe vijayam kṛṣṇa na ca rājyam sukhāni ca
31,1.32,"किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा ।
येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च ॥ १.३२ ॥","kiṁ no rājyena govinda
kiṁ bhogair jīvitena vā
yeṣām arthe kāṅkṣitaṁ no
rājyaṁ bhogāḥ sukhāni ca",kim naḥ rājyena govinda kim bhogaiḥ jīvitena vā yeṣām arthe kāṅkṣitam naḥ rājyam bhogāḥ sukhāni ca
32,1.33,"त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च ।
आचार्याः पितरः पुत्रास्तथैव च पितामहाः ॥ १.३३ ॥","ta ime ’vasthitā yuddhe
prāṇāṁs tyaktvā dhanāni ca
ācāryāḥ pitaraḥ putrās
tathaiva ca pitāmahāḥ",te ime avasthitāḥ yuddhe prāṇān tyaktvā dhanāni ca ācāryāḥ pitaraḥ putrāḥ tathā eva ca pitāmahāḥ
33,1.34,"मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा ।
एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन ॥ १.३४ ॥","mātulāḥ śvaśurāḥ pautrāḥ
śyālāḥ sambandhinas tathā
etān na hantum icchāmi
ghnato ’pi madhusūdana",mātulāḥ śvaśurāḥ pautrāḥ śyālāḥ sambandhinaḥ tathā etān na hantum icchāmi ghnataḥ api madhusūdana
34,1.35,"अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते ।
निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन ॥ १.३५ ॥","api trailokya-rājyasya
hetoḥ kiṁ nu mahī-kṛte
nihatya dhārtarāṣṭrān naḥ
kā prītiḥ syāj janārdana",api trai lokya rājyasya hetoḥ kim nu mahī kṛte nihatya dhārtarāṣṭrān naḥ kā prītiḥ syāt janārdana
35,1.36,"पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः
तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्सबान्धवान्
स्वजनं हि कथं हत्वा सुखिनः स्याम माधव ॥ १.३६ ॥","pāpam evāśrayed asmān
hatvaitān ātatāyinaḥ
tasmān nārhā vayaṁ hantuṁ
dhārtarāṣṭrān sa-bāndhavān
sva-janaṁ hi kathaṁ hatvā
sukhinaḥ syāma mādhava",pāpam eva āśrayet asmān hatvā etān ātatāyinaḥ tasmāt na arhāḥ vayam hantum dhārtarāṣṭrān sa bāndhavān sva janam hi katham hatvā sukhinaḥ syāma mādhava
36,1.37,"यद्यप्येते न पश्यन्ति लोभोपहतचेतसः ।
कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् ॥ १.३७ ॥","yady apy ete na paśyanti
lobhopahata-cetasaḥ
kula-kṣaya-kṛtaṁ doṣaṁ
mitra-drohe ca pātakam",yadi api ete na paśyanti lobha upahata cetasaḥ kula kṣaya kṛtam doṣam mitra drohe ca pātakam
37,1.38,"कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम् ।
कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन ॥ १.३८ ॥","kathaṁ na jñeyam asmābhiḥ
pāpād asmān nivartitum
kula-kṣaya-kṛtaṁ doṣaṁ
prapaśyadbhir janārdana",katham na jñeyam asmābhiḥ pāpāt asmāt nivartitum kula kṣaya kṛtam doṣam prapaśyadbhiḥ janārdana
38,1.39,"कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः ।
धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत ॥ १.३९ ॥","kula-kṣaye praṇaśyanti
kula-dharmāḥ sanātanāḥ
dharme naṣṭe kulaṁ kṛtsnam
adharmo ’bhibhavaty uta",kula kṣaye praṇaśyanti kula dharmāḥ sanātanāḥ dharme naṣṭe kulam kṛtsnam adharmaḥ abhibhavati uta
39,1.40,"अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः ।
स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः ॥ १.४० ॥","adharmābhibhavāt kṛṣṇa
praduṣyanti kula-striyaḥ
strīṣu duṣṭāsu vārṣṇeya
jāyate varṇa-saṅkaraḥ",adharma abhibhavāt kṛṣṇa praduṣyanti kula striyaḥ strīṣu duṣṭāsu vārṣṇeya jāyate varṇa saṅkaraḥ
40,1.41,"सङ्करो नरकायैव कुलघ्नानां कुलस्य च ।
पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः ॥ १.४१ ॥","saṅkaro narakāyaiva
kula-ghnānāṁ kulasya ca
patanti pitaro hy eṣāṁ
lupta-piṇḍodaka-kriyāḥ",saṅkaraḥ narakāya eva kula ghnānām kulasya ca patanti pitaraḥ hi eṣām lupta piṇḍa udaka kriyāḥ
41,1.42,"दोषैरेतैः कुलघ्नानां वर्णसङ्करकारकैः ।
उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः ॥ १.४२ ॥","doṣair etaiḥ kula-ghnānāṁ
varṇa-saṅkara-kārakaiḥ
utsādyante jāti-dharmāḥ
kula-dharmāś ca śāśvatāḥ",doṣaiḥ etaiḥ kula ghnānām varṇa saṅkara kārakaiḥ utsādyante jāti dharmāḥ kula dharmāḥ ca śāśvatāḥ
42,1.43,"उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन ।
नरकेऽनियतं वासो भवतीत्यनुशुश्रुम ॥ १.४३ ॥","utsanna-kula-dharmāṇāṁ
manuṣyāṇāṁ janārdana
narake niyataṁ vāso
bhavatīty anuśuśruma",utsanna kula dharmāṇām manuṣyāṇām janārdana narake niyatam vāsaḥ bhavati iti anuśuśruma
43,1.44,"अहो बत महत्पापं कर्तुं व्यवसिता वयम् ।
यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः ॥ १.४४ ॥","aho bata mahat pāpaṁ
kartuṁ vyavasitā vayam
yad rājya-sukha-lobhena
hantuṁ sva-janam udyatāḥ",aho bata mahat pāpam kartum vyavasitāḥ vayam yat rājya sukha lobhena hantum sva janam udyatāḥ
44,1.45,"यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः ।
धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् ॥ १.४५ ॥","yadi mām apratīkāram
aśastraṁ śastra-pāṇayaḥ
dhārtarāṣṭrā raṇe hanyus
tan me kṣema-taraṁ bhavet",yadi mām apratīkāram aśastram śastra pāṇayaḥ dhārtarāṣṭrāḥ raṇe hanyuḥ tat me kṣema taram bhavet
45,1.46,"सञ्जय उवाच ।
एवमुक्त्वार्जुनः संख्ये रथोपस्थ उपाविशत्
विसृज्य सशरं चापं शोकसंविग्नमानसः ॥ १.४६ ॥","sañjaya uvāca
evam uktvārjunaḥ saṅkhye
rathopastha upāviśat
visṛjya sa-śaraṁ cāpaṁ
śoka-saṁvigna-mānasaḥ",sañjayaḥ uvāca evam uktvā arjunaḥ saṅkhye ratha upasthe upāviśat visṛjya sa śaram cāpam śoka saṁvigna mānasaḥ
46,2.1,"संजय उवाच ।
तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम्
विषीदन्तमिदं वाक्यमुवाच मधुसूदनः ॥ २.१ ॥","sañjaya uvāca
taṁ tathā kṛpayāviṣṭam
aśru-pūrṇākulekṣaṇam
viṣīdantam idaṁ vākyam
uvāca madhusūdanaḥ",sañjayaḥ uvāca tam tathā kṛpayā āviṣṭam aśru pūrṇa ākula īkṣaṇam viṣīdantam idam vākyam uvāca madhu sūdanaḥ
47,2.2,"श्रीभगवानुवाच ।
कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम्
अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन ॥ २.२ ॥","śrī-bhagavān uvāca
kutas tvā kaśmalam idaṁ
viṣame samupasthitam
anārya-juṣṭam asvargyam
akīrti-karam arjuna",śrī bhagavān uvāca kutaḥ tvā kaśmalam idam viṣame samupasthitam anārya juṣṭam asvargyam akīrti karam arjuna
48,2.3,"क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते ।
क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप ॥ २.३ ॥","klaibyaṁ mā sma gamaḥ pārtha
naitat tvayy upapadyate
kṣudraṁ hṛdaya-daurbalyaṁ
tyaktvottiṣṭha paran-tapa",klaibyam mā sma gamaḥ pārtha na etat tvayi upapadyate kṣudram hṛdaya daurbalyam tyaktvā uttiṣṭha param tapa
49,2.4,"अर्जुन उवाच ।
कथं भीष्ममहं संख्ये द्रोणं च मधुसूदन
इषुभिः प्रतियोत्स्यामि पूजार्हावरिसूदन ॥ २.४ ॥","arjuna uvāca
kathaṁ bhīṣmam ahaṁ saṅkhye
droṇaṁ ca madhusūdana
iṣubhiḥ pratiyotsyāmi
pūjārhāv ari-sūdana",arjunaḥ uvāca katham bhīṣmam aham saṅkhye droṇam ca madhu sūdana iṣubhiḥ pratiyotsyāmi pūjā arhau ari sūdana
50,2.5,"गुरूनहत्वा हि महानुभावान्
श्रेयो भोक्तुं भैक्ष्यमपीह लोके ।
हत्वार्थकामांस्तु गुरूनिहैव
भुञ्जीय भोगान् रुधिरप्रदिग्धान् ॥ २.५ ॥","gurūn ahatvā hi mahānubhāvān
śreyo bhoktuṁ bhaikṣyam apīha loke
hatvārtha-kāmāṁs tu gurūn ihaiva
bhuñjīya bhogān rudhira-pradigdhān",gurūn ahatvā hi mahā anubhāvān śreyaḥ bhoktum bhaikṣyam api iha loke hatvā artha kāmān tu gurūn iha eva bhuñjīya bhogān rudhira pradigdhān
51,2.6,"न चैतद्विद्मः कतरन्नो गरीयो
यद्वा जयेम यदि वा नो जयेयुः ।
यानेव हत्वा न जिजीविषाम-
स्तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः ॥ २.६ ॥","na caitad vidmaḥ kataran no garīyo
yad vā jayema yadi vā no jayeyuḥ
yān eva hatvā na jijīviṣāmas
te ’vasthitāḥ pramukhe dhārtarāṣṭrāḥ",na ca etat vidmaḥ katarat naḥ garīyaḥ yat vā jayema yadi vā naḥ jayeyuḥ yān eva hatvā na jijīviṣāmaḥ te avasthitāḥ pramukhe dhārtarāṣṭrāḥ
52,2.7,"कार्पण्यदोषोपहतस्वभावः
पृच्छामि त्वां धर्मसम्मूढचेताः ।
यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मे
शिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् ॥ २.७ ॥","kārpaṇya-doṣopahata-svabhāvaḥ
pṛcchāmi tvāṁ dharma-sammūḍha-cetāḥ
yac chreyaḥ syān niścitaṁ brūhi tan me
śiṣyas te ’haṁ śādhi māṁ tvāṁ prapannam",kārpaṇya doṣa upahata svabhāvaḥ pṛcchāmi tvām dharma sammūḍha cetāḥ yat śreyaḥ syāt niścitam brūhi tat me śiṣyaḥ te aham śādhi mām tvām prapannam
53,2.8,"न हि प्रपश्यामि ममापनुद्याद्यच्छोकमुच्छोषणमिन्द्रियाणाम् ।
अवाप्य भूमावसपत्नमृद्धं राज्यं सुराणामपि चाधिपत्यम् ॥ २.८ ॥","na hi prapaśyāmi mamāpanudyād
yac chokam ucchoṣaṇam indriyāṇām
avāpya bhūmāv asapatnam ṛddhaṁ
rājyaṁ surāṇām api cādhipatyam",na hi prapaśyāmi mama apanudyāt yat śokam ucchoṣaṇam indriyāṇām avāpya bhūmau asapatnam ṛddham rājyam surāṇām api ca ādhipatyam
54,2.9,"सञ्जय उवाच ।
एवमुक्त्वा हृषीकेशं गुडाकेशः परन्तपः
न योत्स्य इति गोविन्दमुक्त्वा तूष्णीं बभूव ह ॥ २.९ ॥","sañjaya uvāca
evam uktvā hṛṣīkeśaṁ
guḍākeśaḥ paran-tapaḥ
na yotsya iti govindam
uktvā tūṣṇīṁ babhūva ha",sañjayaḥ uvāca evam uktvā hṛṣīkeśam guḍākeśaḥ param tapaḥ na yotsye iti govindam uktvā tūṣṇīm babhūva ha
55,2.10,"तमुवाच हृषीकेशः प्रहसन्निव भारत ।
सेनयोरुभयोर्मध्ये विषीदन्तमिदं वचः ॥ २.१० ॥","tam uvāca hṛṣīkeśaḥ
prahasann iva bhārata
senayor ubhayor madhye
viṣīdantam idaṁ vacaḥ",tam uvāca hṛṣīkeśaḥ prahasan iva bhārata senayoḥ ubhayoḥ madhye viṣīdantam idam vacaḥ
56,2.11,"श्रीभगवानुवाच ।
अशोच्यानन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे
गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः ॥ २.११ ॥","śrī-bhagavān uvāca
aśocyān anvaśocas tvaṁ
prajñā-vādāṁś ca bhāṣase
gatāsūn agatāsūṁś ca
nānuśocanti paṇḍitāḥ",śrī bhagavān uvāca aśocyān anvaśocaḥ tvam prajñā vādān ca bhāṣase gata asūn agata asūn ca na anuśocanti paṇḍitāḥ
